demo_id,user_id,employer_id,attended_demo,demo_date,first_name,last_name,email,country_x,signup_date,logins_last_30_days,messages_sent,profile_completed,company_name,industry,country_y,days_since_signup,engagement_score
22,4186,645,True,2025-03-15,Andrew,Evans,steinbrett@example.org,Colombia,2024-09-26,3,47,True,"""Miller"," Sanders and Daugherty""","Healthcare,Brazil",170,29.4
23,1998,458,True,2025-03-15,Lauren,Schultz,andrew66@example.org,Venezuela,2025-02-03,14,8,True,Watkins-Martin,Tech,Uruguay,40,10.4
24,3599,612,True,2025-03-15,Justin,Massey,ashleycooley@example.net,Chile,2025-01-30,6,28,True,Mitchell PLC,Finance,Turkey,44,19.200000000000003
25,1865,329,True,2025-03-15,Timothy,Austin,myersmichael@example.net,Bolivia,2025-01-20,9,2,True,Case-Perez,Finance,Mexico,54,4.8
26,4009,51,True,2025-03-15,Cynthia,Benson,aaronkirby@example.com,Chile,2024-11-12,15,49,False,Smith Group,Education,Bolivia,123,35.4
27,655,398,True,2025-03-15,Renee,Murphy,lrobinson@example.net,UK,2025-03-16,13,15,False,Moore-Villanueva,Finance,Venezuela,-1,14.2
28,521,204,True,2025-03-15,John,Scott,jimenezbrett@example.net,Venezuela,2025-03-18,9,24,False,Reed PLC,Education,Portugal,-3,18.0
29,1571,126,True,2025-03-15,Roberto,Hayes,brandoncollins@example.org,Mexico,2024-10-06,11,40,True,Lindsey Inc,Healthcare,Colombia,160,28.4
30,1596,785,True,2025-03-15,Kevin,Patterson,rachelruiz@example.com,Uruguay,2024-10-10,4,26,True,Bridges Ltd,Healthcare,Mexico,156,17.2
31,4922,589,True,2025-03-15,Barbara,Perkins,kennedymadeline@example.net,Ecuador,2025-02-23,10,28,True,Molina-Barr,Finance,France,20,20.8
32,513,280,True,2025-03-15,Stuart,Miller,dmartinez@example.com,Colombia,2025-03-18,7,49,False,"""Rogers"," Anderson and Morris""","Education,Turkey",-3,32.199999999999996
33,3889,177,True,2025-03-15,Angela,Morrison,josephdavis@example.com,Argentina,2024-10-23,11,47,False,"""Long"," Anderson and Rowe""","Education,Paraguay",143,32.6
34,3136,65,True,2025-03-15,Alejandro,Griffin,garynelson@example.com,India,2025-03-14,8,43,True,Bell-Sanchez,Finance,Portugal,1,29.0
35,3047,1126,True,2025-03-15,Kristina,Smith,peterellis@example.net,Brazil,2024-12-17,8,48,False,Rodriguez Group,Tech,Chile,88,31.999999999999996
36,4763,805,True,2025-03-15,Allen,Duran,katherinemartin@example.org,Venezuela,2024-11-10,1,3,True,"""Wong"," Lewis and Williams""","Education,Ecuador",125,2.1999999999999997
37,755,428,True,2025-03-15,Anthony,Moore,howard07@example.com,Ecuador,2025-03-19,9,1,True,Anderson Group,Education,Turkey,-4,4.2
38,656,850,True,2025-03-15,Danielle,Keller,fcook@example.org,Bolivia,2025-03-16,11,1,False,"""Black"," Smith and Petersen""","Tech,USA",-1,5.0
39,2095,491,True,2025-03-15,Jessica,Young,lopezjulia@example.com,Paraguay,2025-02-12,4,31,True,Brown PLC,Healthcare,Uruguay,31,20.2
40,3456,106,True,2025-03-15,Benjamin,Mathews,kathleenhenderson@example.net,Brazil,2024-11-13,12,22,True,Coleman Inc,Healthcare,USA,122,18.0
41,3934,593,True,2025-03-15,Kristin,Leon,lyonschristy@example.com,Turkey,2025-01-07,9,2,True,Williams-Thomas,Healthcare,Mexico,67,4.8
42,198,85,True,2025-03-15,Mary,Lee,jaime13@example.net,Mexico,2025-03-17,12,2,False,Fisher Ltd,Education,Greece,-2,6.000000000000001
43,3837,1111,True,2025-03-15,Margaret,Herrera,brianmiller@example.net,Uruguay,2024-12-21,9,41,False,Davis-Hart,Finance,Italy,84,28.2
44,4171,1012,True,2025-03-15,Mark,Miller,jenniferrocha@example.com,Colombia,2025-02-16,3,23,False,Clark and Sons,Healthcare,Paraguay,27,15.0
45,3823,1001,True,2025-03-15,Elizabeth,Williams,plucas@example.net,UK,2024-10-24,12,39,False,Thomas PLC,Healthcare,Argentina,142,28.2
46,2221,825,True,2025-03-15,Stephanie,Bowen,fergusonjohn@example.com,Peru,2025-01-27,4,30,True,Vincent-Harmon,Finance,Colombia,47,19.6
47,1582,111,True,2025-03-15,Katelyn,Yates,kenneth10@example.com,Argentina,2024-10-24,15,1,True,"""Townsend"," Wilkins and Green""","Healthcare,Mexico",142,6.6
48,2534,172,True,2025-03-15,Cindy,Hernandez,nolanbrian@example.org,Paraguay,2025-02-07,6,49,True,Walton PLC,Finance,South Africa,36,31.799999999999997
49,4237,1118,True,2025-03-15,Nicole,Hill,bbrock@example.org,Brazil,2024-11-11,7,35,False,Wells Group,Education,Argentina,124,23.8
50,83,552,True,2025-03-15,Kevin,Castillo,christopherholt@example.com,Italy,2025-03-16,15,6,False,Meyer Group,Education,Colombia,-1,9.6
51,4843,967,True,2025-03-15,Lindsey,Thomas,qpowell@example.net,Paraguay,2025-03-12,10,4,False,Day-Tucker,Education,Argentina,3,6.4
52,187,1018,True,2025-03-15,William,Porter,tracyburnett@example.org,Ecuador,2025-03-21,3,34,False,Schneider-Phillips,Finance,India,-6,21.599999999999998
53,3346,1065,True,2025-03-15,Michelle,Collins,reevesjoshua@example.org,Venezuela,2024-12-19,8,19,False,"""Navarro"," Clark and Oliver""","Education,Bolivia",86,14.600000000000001
54,4199,759,True,2025-03-15,Gregory,Mathis,izimmerman@example.org,Argentina,2024-12-29,9,19,True,Coffey-Dunn,Healthcare,Spain,76,15.0
55,2783,1160,True,2025-03-15,Crystal,Gonzalez,beth90@example.com,Turkey,2025-03-05,12,16,False,Ramirez Group,Finance,Brazil,10,14.4
56,4397,277,True,2025-03-15,Kevin,Bowman,charlesjones@example.com,Brazil,2025-02-19,6,38,False,"""Chang"," Murray and Larson""","Education,Greece",24,25.200000000000003
57,3422,931,True,2025-03-15,Charles,Hunter,jeffrey61@example.com,Colombia,2025-02-18,2,7,True,Jensen Ltd,Finance,Turkey,25,5.0
58,1714,455,True,2025-03-15,Stephen,Klein,david27@example.com,Portugal,2025-01-16,10,1,False,Brown-Johnston,Tech,USA,58,4.6
59,2520,125,True,2025-03-15,Sheri,Allen,lucaskatelyn@example.net,Chile,2025-01-20,15,24,True,"""Rasmussen"," Bryant and Hopkins""","Finance,Uruguay",54,20.4
60,902,1091,True,2025-03-15,Paul,Ibarra,emily42@example.org,South Africa,2025-03-20,5,6,False,"""Leon"," Marshall and Patel""","Healthcare,Brazil",-5,5.6
61,3819,301,True,2025-03-15,Wayne,Robinson,hensoncynthia@example.net,Peru,2025-01-28,3,11,False,Norton Ltd,Healthcare,UK,46,7.8
62,2279,1175,True,2025-03-15,Rachel,Brown,andrewbaker@example.com,Brazil,2024-09-26,13,32,False,Tran Ltd,Tech,Bolivia,170,24.4
63,2474,67,True,2025-03-15,Hayley,Jackson,wardmegan@example.org,USA,2025-01-24,9,48,False,Mcguire Ltd,Education,Colombia,50,32.4
64,4529,151,True,2025-03-15,Gregory,Glass,daniel05@example.net,Argentina,2025-02-14,2,2,False,Simpson and Sons,Tech,Bolivia,29,2.0
65,3265,113,True,2025-03-15,Scott,Taylor,mbarnett@example.com,Ecuador,2024-09-21,3,42,False,Anderson-Duran,Education,UK,175,26.4
66,3340,208,True,2025-03-15,Kelly,Spencer,torresthomas@example.com,Brazil,2025-01-01,3,34,False,"""Reyes"," Rose and Martinez""","Finance,Argentina",73,21.599999999999998
67,2250,980,True,2025-03-15,Caleb,Brown,lori65@example.org,Mexico,2024-10-05,9,49,True,"""Miller"," Fields and Barrett""","Finance,USA",161,33.0
68,1536,84,True,2025-03-15,Jennifer,Briggs,myerskaren@example.net,Brazil,2024-10-14,13,19,False,"""Rivera"," Davis and Edwards""","Education,Brazil",152,16.6
69,2398,1058,True,2025-03-15,Christopher,Kramer,xsmith@example.org,South Africa,2024-09-22,9,26,True,Hogan-Chase,Education,Argentina,174,19.2
70,235,506,True,2025-03-15,Suzanne,Perez,julie92@example.com,Brazil,2025-03-19,13,25,False,Williams LLC,Education,Venezuela,-4,20.2
71,2292,372,True,2025-03-15,Mitchell,Hill,kevinwilliams@example.org,Turkey,2024-11-30,1,8,True,Lewis PLC,Education,Peru,105,5.2
72,2996,822,True,2025-03-15,Lisa,Heath,jason58@example.com,Portugal,2025-01-10,12,24,True,Jones-Delacruz,Tech,Colombia,64,19.2
73,1312,755,True,2025-03-15,Denise,Williams,brian02@example.org,Mexico,2025-03-20,8,13,False,Bradley LLC,Education,Paraguay,-5,11.0
74,2136,997,True,2025-03-15,Allen,Webb,jacobwarner@example.org,Brazil,2024-10-03,6,5,True,"""Holden"," Harper and Jones""","Education,Colombia",163,5.4
75,2808,497,True,2025-03-15,Bonnie,Valenzuela,ryanrose@example.org,Ecuador,2024-10-13,10,48,False,Brown-Hayes,Tech,Kenya,153,32.8
76,3964,1184,True,2025-03-15,Keith,Jacobson,johnsonmatthew@example.com,Peru,2025-03-12,11,27,True,Miranda-Love,Education,Germany,3,20.6
77,1220,600,True,2025-03-15,Gregory,Carney,zbennett@example.org,Brazil,2025-03-19,15,25,True,Johnson LLC,Healthcare,Spain,-4,21.0
78,4845,1018,True,2025-03-15,Christy,Rivas,james01@example.com,Argentina,2025-01-28,1,39,True,Schneider-Phillips,Finance,India,46,23.799999999999997
79,3114,967,True,2025-03-15,Andrea,Jones,gary30@example.org,Colombia,2025-01-29,1,3,False,Day-Tucker,Education,Argentina,45,2.1999999999999997
80,1833,615,True,2025-03-15,Kristen,Cabrera,lopezsarah@example.net,Greece,2024-11-19,5,42,False,Skinner and Sons,Healthcare,Spain,116,27.2
81,1585,1002,True,2025-03-15,Jonathan,Johnson,fhughes@example.org,Paraguay,2024-12-15,13,50,False,Mitchell and Sons,Finance,Chile,90,35.2
82,3880,1190,True,2025-03-15,James,Harris,russelljulian@example.org,Chile,2024-12-26,3,42,False,"""Robbins"," Bryan and Vance""","Tech,Portugal",79,26.4
83,1790,753,True,2025-03-15,Jonathan,Patel,esmith@example.com,Paraguay,2025-01-06,14,12,False,Ross PLC,Tech,Bolivia,68,12.8
84,1228,846,True,2025-03-15,Hannah,Valencia,jeffersonmallory@example.net,Brazil,2025-03-19,12,44,True,Davidson LLC,Tech,Uruguay,-4,31.2
85,4172,421,True,2025-03-15,Walter,Thomas,flin@example.net,Mexico,2025-01-27,2,42,False,Long-Winters,Healthcare,France,47,26.0
86,3221,61,True,2025-03-15,Eric,Bullock,mortonleah@example.net,France,2024-10-27,8,33,True,"""Reed"," Brown and Phillips""","Education,Argentina",139,23.0
87,969,670,True,2025-03-15,Patricia,Hinton,johnsonmeagan@example.com,Peru,2025-03-16,3,19,False,"""Moore"," Carroll and Hernandez""","Tech,Chile",-1,12.600000000000001
88,3021,1166,True,2025-03-15,Patricia,Bird,allenbrenda@example.net,India,2025-03-02,4,25,True,Carr LLC,Healthcare,Ecuador,13,16.6
89,2702,766,True,2025-03-15,Megan,Macias,lellis@example.com,Uruguay,2025-01-25,14,43,True,"""Carter"," Stevenson and Campos""","Education,Portugal",49,31.400000000000002
90,641,957,True,2025-03-15,Kelly,Riley,mackenziezimmerman@example.org,France,2025-03-17,1,31,True,Tate-Becker,Tech,Chile,-2,18.999999999999996
91,2585,284,True,2025-03-15,Elizabeth,Hawkins,james50@example.net,Peru,2024-09-20,10,4,False,"""Garza"," Clark and White""","Tech,India",176,6.4
92,4633,409,True,2025-03-15,Justin,Foster,stephaniehall@example.net,Greece,2024-10-25,2,20,True,Miller-Sullivan,Finance,South Africa,141,12.8
93,4540,514,True,2025-03-15,Mikayla,Dodson,castromatthew@example.net,Chile,2025-02-02,5,19,True,Miller PLC,Finance,Brazil,41,13.4
94,3080,1181,True,2025-03-15,Jesse,Garcia,carpenterearl@example.com,Paraguay,2025-01-02,0,15,True,"""Walton"," Ramirez and Greer""","Tech,India",72,9.0
95,3225,190,True,2025-03-15,Joan,Clarke,susan79@example.org,Ecuador,2024-11-09,13,10,False,Hernandez PLC,Finance,Venezuela,126,11.2
96,1576,832,True,2025-03-15,Jonathan,Everett,james37@example.net,Argentina,2025-02-12,10,17,True,"""Gaines"," Garrett and Williams""","Tech,Greece",31,14.2
97,4305,1102,True,2025-03-15,Mary,Christian,wisejeremy@example.org,Chile,2024-10-15,10,11,True,Burton Ltd,Finance,Venezuela,151,10.6
98,1302,109,True,2025-03-15,Lynn,Vega,sanchezeileen@example.net,Venezuela,2025-03-17,0,47,True,Chen Inc,Tech,Nigeria,-2,28.2
99,4748,827,True,2025-03-15,Laura,Porter,corystevens@example.net,Paraguay,2025-03-10,10,13,False,"""Johnson"," Cunningham and Lynch""","Finance,Brazil",5,11.8
100,154,1083,True,2025-03-15,Patrick,Robinson,orrpatricia@example.com,UK,2025-03-22,0,18,False,"""Noble"," Estrada and Medina""","Education,Peru",-7,10.799999999999999
101,3876,935,True,2025-03-15,Carrie,Clark,hallbrandon@example.org,Uruguay,2025-02-18,15,34,False,"""Odom"," Peters and Murphy""","Healthcare,Ecuador",25,26.4
102,3826,69,True,2025-03-15,Thomas,Schroeder,powelltheresa@example.net,Peru,2024-11-22,3,7,False,"""Davis"," Flores and Ball""","Finance,Bolivia",113,5.4
103,2555,96,True,2025-03-15,Jeffrey,Jimenez,amandablanchard@example.org,Nigeria,2024-09-20,12,13,False,"""Anderson"," Taylor and Lewis""","Education,Uruguay",176,12.600000000000001
104,3657,1014,True,2025-03-15,Sharon,Reed,hicksjasmine@example.com,Spain,2024-11-07,12,33,True,"""Medina"," Gill and Powell""","Healthcare,Italy",128,24.6
105,127,613,True,2025-03-15,Eric,Taylor,bmayer@example.net,Paraguay,2025-03-18,5,49,False,Rodriguez Ltd,Education,Uruguay,-3,31.4
106,1314,1086,True,2025-03-15,George,Harris,sextonralph@example.com,Mexico,2025-03-21,1,6,False,Bradshaw PLC,Finance,Colombia,-6,3.9999999999999996
107,731,236,True,2025-03-15,Kendra,Duke,cynthiathompson@example.com,Peru,2025-03-16,10,39,True,Richardson Inc,Healthcare,Colombia,-1,27.4
108,1856,935,True,2025-03-15,John,Johnson,johnstonmichelle@example.org,Mexico,2024-11-12,12,31,False,"""Odom"," Peters and Murphy""","Healthcare,Ecuador",123,23.4
109,2918,1114,True,2025-03-15,Kimberly,Abbott,kimberly31@example.net,Colombia,2025-03-13,15,10,True,Davis LLC,Tech,Uruguay,2,12.0
110,2057,189,True,2025-03-15,Dennis,Castillo,odavis@example.org,Ecuador,2025-01-25,2,46,True,Wilson-Patterson,Education,UK,49,28.4
111,1617,237,True,2025-03-15,Kelly,Nelson,griffiththomas@example.com,Paraguay,2024-12-31,14,31,True,Weaver Ltd,Healthcare,USA,74,24.2
112,3629,421,True,2025-03-15,Susan,Arnold,kchoi@example.net,Paraguay,2024-12-15,3,32,True,Long-Winters,Healthcare,France,90,20.4
113,2275,503,True,2025-03-15,Donald,Anderson,cynthiacolon@example.com,Argentina,2025-02-08,8,39,False,"""Carlson"," Ramirez and Keller""","Tech,Peru",35,26.599999999999998
114,3924,880,True,2025-03-15,Mark,Campbell,pmorse@example.org,UK,2025-01-13,9,8,False,Donaldson Ltd,Tech,Argentina,61,8.4
115,4065,244,True,2025-03-15,Shane,Cortez,acevedocindy@example.net,Venezuela,2024-12-23,12,44,False,Myers Ltd,Finance,Nigeria,82,31.2
116,3926,698,True,2025-03-15,John,Floyd,yhorn@example.com,Peru,2025-02-23,4,46,False,Austin PLC,Education,Paraguay,20,29.2
117,299,805,True,2025-03-15,Cheyenne,Melton,perezlynn@example.com,Ecuador,2025-03-17,12,32,False,"""Wong"," Lewis and Williams""","Education,Ecuador",-2,24.0
118,1563,437,True,2025-03-15,Lindsay,Ramos,taylorandrew@example.net,Peru,2024-12-22,10,7,True,Calderon LLC,Tech,Paraguay,83,8.2
119,255,252,True,2025-03-15,Cynthia,Wilson,dthomas@example.org,Peru,2025-03-16,2,15,True,"""Green"," Escobar and Bentley""","Healthcare,Paraguay",-1,9.8
120,3509,851,True,2025-03-15,Kathryn,Sandoval,mooremichael@example.org,Paraguay,2024-12-29,2,14,False,"""Graves"," Harper and Fields""","Tech,Germany",76,9.200000000000001
121,2378,22,True,2025-03-15,Cynthia,Moore,samantha08@example.com,Venezuela,2024-10-05,8,35,False,Sawyer LLC,Healthcare,Ecuador,161,24.2
122,2340,46,True,2025-03-15,Ronald,Carney,vbryant@example.net,Kenya,2024-11-13,3,37,True,Trevino Ltd,Education,Peru,122,23.4
123,1116,489,True,2025-03-15,Kelsey,Carey,gsmith@example.org,Uruguay,2025-03-17,6,36,False,Cox-Gray,Finance,France,-2,24.0
124,3395,15,True,2025-03-15,Jessica,Hill,mileskelly@example.com,Peru,2025-03-09,5,23,True,"""Green"," Banks and Scott""","Education,Uruguay",6,15.799999999999999
125,1185,772,True,2025-03-15,Randall,Barrett,xbenson@example.net,South Africa,2025-03-17,2,30,True,"""Richardson"," Riley and Baldwin""","Finance,Chile",-2,18.8
126,3774,821,True,2025-03-15,Elijah,Bryan,jenniferbarber@example.com,Paraguay,2024-10-31,1,24,False,Mcneil LLC,Education,Italy,135,14.799999999999999
127,916,124,True,2025-03-15,Michael,Jones,smithjoshua@example.net,India,2025-03-17,15,35,True,Mooney LLC,Tech,Germany,-2,27.0
128,4964,897,True,2025-03-15,Jermaine,Ball,carrie71@example.com,UK,2024-12-03,6,10,False,Martinez Ltd,Tech,Colombia,102,8.4
129,472,445,True,2025-03-15,John,Davis,melindasimmons@example.com,Colombia,2025-03-18,5,35,False,Hernandez Inc,Finance,Uruguay,-3,23.0
130,3363,957,True,2025-03-15,Lori,Cervantes,thomaspoole@example.com,Chile,2024-09-19,12,9,False,Tate-Becker,Tech,Chile,177,10.2
131,798,1003,True,2025-03-15,Wendy,Maddox,gcarlson@example.com,Ecuador,2025-03-21,14,49,False,Brown-Washington,Finance,Ecuador,-6,35.0
132,1683,956,True,2025-03-15,Gina,Vasquez,breannalewis@example.org,Venezuela,2024-11-14,7,15,True,Collins Ltd,Finance,Spain,121,11.8
133,4916,1075,True,2025-03-15,Dustin,Cobb,xball@example.org,South Africa,2025-03-10,9,16,True,Vega-Nolan,Finance,UK,5,13.2
134,4856,1082,True,2025-03-15,Alison,Hunter,jessicabrown@example.com,Uruguay,2025-02-11,4,24,True,"""Murray"," Fernandez and Stephens""","Education,Argentina",32,15.999999999999998
135,3386,1186,True,2025-03-15,Megan,Williams,ocarson@example.net,Peru,2024-11-09,2,26,False,Hayes PLC,Tech,Kenya,126,16.4
136,2985,1022,True,2025-03-15,Bethany,Maldonado,lopeztony@example.net,Uruguay,2024-12-06,9,37,False,Hammond Group,Healthcare,Chile,99,25.8
137,4893,937,True,2025-03-15,Jared,Davis,jeffrey85@example.com,Ecuador,2024-10-05,8,36,True,"""Boyer"," Payne and Martin""","Finance,Mexico",161,24.799999999999997
138,3406,760,True,2025-03-15,Troy,Carson,ryanwilliams@example.net,Chile,2024-10-03,3,39,False,"""Santiago"," Wood and Lee""","Education,France",163,24.599999999999998
139,217,428,True,2025-03-15,Antonio,Patel,christina81@example.org,Germany,2025-03-20,5,17,True,Anderson Group,Education,Turkey,-5,12.2
140,1668,995,True,2025-03-15,Emily,Holt,masonjohn@example.com,Uruguay,2024-11-07,0,0,False,Shaffer-Brady,Tech,UK,128,0.0
141,3735,675,True,2025-03-15,Cory,Harvey,fbennett@example.com,Bolivia,2025-01-02,6,29,False,Brown Group,Education,Paraguay,72,19.799999999999997
142,2122,437,True,2025-03-15,Adam,Travis,reevessherri@example.com,Peru,2025-01-18,14,1,True,Calderon LLC,Tech,Paraguay,56,6.2
143,2604,116,True,2025-03-15,Jeffery,Williams,gabriela07@example.com,Uruguay,2025-03-09,11,6,False,Williams and Sons,Education,Argentina,6,8.0
144,2945,372,True,2025-03-15,Jorge,Davis,evan82@example.com,Ecuador,2025-01-29,1,17,True,Lewis PLC,Education,Peru,45,10.6
145,1967,815,True,2025-03-15,Erica,Mcdonald,harriskatelyn@example.com,Chile,2025-02-17,12,14,False,Jordan and Sons,Tech,India,26,13.200000000000001
146,373,927,True,2025-03-15,William,Elliott,larsonrebecca@example.net,Brazil,2025-03-18,14,17,False,Barrera-Davis,Finance,Nigeria,-3,15.8
147,2234,206,True,2025-03-15,Christopher,Anthony,melody55@example.org,Italy,2025-02-19,1,9,False,Phillips-Cunningham,Education,Colombia,24,5.8
148,4900,1055,True,2025-03-15,Derek,White,williamsonedward@example.com,Paraguay,2024-09-23,1,18,True,"""Hill"," Jordan and Lamb""","Tech,Paraguay",173,11.2
149,1835,556,True,2025-03-15,Donna,Carpenter,jamesjohnson@example.com,Uruguay,2024-11-11,13,50,True,Washington-Castillo,Education,South Africa,124,35.2
150,4646,1148,True,2025-03-15,Victor,Tucker,tyler61@example.net,Mexico,2025-03-14,4,32,True,"""Roman"," Ponce and Black""","Education,Mexico",1,20.8
151,3784,268,True,2025-03-15,Danny,Wilson,chelseawilson@example.org,Uruguay,2024-10-01,15,30,True,"""Hickman"," Spencer and Rodriguez""","Finance,Peru",165,24.0
152,1884,428,True,2025-03-15,Joseph,Long,shannon40@example.org,USA,2024-10-03,5,25,False,Anderson Group,Education,Turkey,163,17.0
153,3958,753,True,2025-03-15,Jamie,Smith,allenmichael@example.org,Italy,2024-10-24,9,39,True,Ross PLC,Tech,Bolivia,142,27.0
154,2044,252,True,2025-03-15,Cassandra,White,wellis@example.net,Italy,2024-11-26,9,2,False,"""Green"," Escobar and Bentley""","Healthcare,Paraguay",109,4.8
155,4048,104,True,2025-03-15,Caitlin,Tanner,gmartin@example.com,Turkey,2024-11-13,3,2,True,Carlson-Clayton,Tech,Paraguay,122,2.4000000000000004
156,4585,1026,True,2025-03-15,Mark,Wright,cali@example.com,Uruguay,2024-12-09,3,28,False,Oconnor and Sons,Finance,France,96,18.0
157,3018,294,True,2025-03-15,Christian,Jarvis,pthomas@example.net,UK,2025-01-19,14,33,False,Schmidt LLC,Finance,Kenya,55,25.400000000000002
158,3116,136,True,2025-03-15,Janice,Cook,vcardenas@example.com,Nigeria,2024-11-07,4,11,False,Walker-Graham,Tech,Mexico,128,8.2
159,4230,23,True,2025-03-15,Ashley,Harrison,ashleybutler@example.com,France,2025-02-14,9,8,True,Wall-Coleman,Tech,Ecuador,29,8.4
160,2595,831,True,2025-03-15,Danielle,Garcia,ashleyaustin@example.org,Nigeria,2025-02-03,2,8,False,Dennis-Turner,Education,Paraguay,40,5.6
161,3264,1029,True,2025-03-15,Jason,White,bryce16@example.org,Germany,2024-09-16,13,12,False,Aguilar LLC,Education,Bolivia,180,12.399999999999999
162,3923,354,True,2025-03-15,Whitney,Sandoval,sherryrogers@example.com,Uruguay,2024-09-27,9,35,True,Bright PLC,Education,Uruguay,169,24.6
163,1632,1164,True,2025-03-15,John,Rich,ryanneal@example.org,Peru,2024-11-15,0,44,True,Lewis-Hogan,Finance,USA,120,26.4
164,2931,909,True,2025-03-15,George,Barrera,tgutierrez@example.org,Greece,2024-11-18,0,16,False,Wise Group,Finance,Ecuador,117,9.6
165,3277,506,True,2025-03-15,Timothy,Ramsey,susancollins@example.org,Kenya,2025-01-03,9,5,True,Williams LLC,Education,Venezuela,71,6.6
166,540,394,True,2025-03-15,Michael,Buchanan,edwin93@example.net,Colombia,2025-03-20,3,27,True,Harris Ltd,Education,Venezuela,-5,17.4
167,2298,278,True,2025-03-15,Vincent,Martinez,currykaylee@example.net,Mexico,2025-02-11,4,34,False,"""Downs"," Ross and Griffith""","Healthcare,Italy",32,22.0
168,3922,828,True,2025-03-15,Michelle,Myers,irivera@example.org,Mexico,2025-01-09,0,8,False,"""Gonzales"," Gray and Perez""","Tech,Chile",65,4.8
169,3824,734,True,2025-03-15,Ashley,Green,ubailey@example.com,France,2024-12-01,15,44,False,Gross-Sullivan,Education,Colombia,104,32.4
170,1287,1037,True,2025-03-15,David,Williams,watsondanielle@example.com,Chile,2025-03-20,10,44,False,"""Lee"," Moore and Warren""","Education,Venezuela",-5,30.4
171,2623,746,True,2025-03-15,Kimberly,Calderon,ithomas@example.com,Brazil,2024-11-02,9,44,True,Henry-Clark,Education,Ecuador,133,30.0
172,4268,1200,True,2025-03-15,Melissa,Thomas,brittany89@example.com,Colombia,2024-10-19,14,34,True,Black and Sons,Healthcare,France,147,26.0
173,23,988,True,2025-03-15,Barbara,Sparks,fischerthomas@example.com,Chile,2025-03-20,7,4,True,Phillips-Hayes,Education,South Africa,-5,5.2
